Source,Target,Weight
andil220,CiptaBuana_,1
BangE75172,GempurJokowi,1
GempurJokowi,Ikhwanpcr,2
Lady_Caprico,cangpanjaaang,2
Lady_Caprico,aniesbaswedan,1
twaeyjae,Kimberley_PS08,1
twaeyjae,joeyakarta,1
Kimberley_PS08,enak_tahu1,1
dewita83063101,KompasTV,1
KompasTV,_Meneerreno69,1
KompasTV,nursyam_zulpian,1
KompasTV,sayno_KKN,1
aldonugrohoo,hist0riann,1
YHYMHMN,jougan04,1
rommybrother,ahmad95521,1
ahmad95521,Srik4ndiMuslim2,1
liz93958412,kalistohenituse,1
liz93958412,____insom,1
kalistohenituse,potatomax_,1
TukangT89221,YouTube,1
Twilight_Hunt99,awikuchuz,1
Twilight_Hunt99,GunRomli,1
Twilight_Hunt99,islah_bahrawi,1
Twilight_Hunt99,narkosun,1
Twilight_Hunt99,ch_chotimah2,1
Twilight_Hunt99,Sammi86Pilang,1
Twilight_Hunt99,Hermoyliana,1
Twilight_Hunt99,seruanhl,1
Twilight_Hunt99,JhonSitorus_18,1
ch_chotimah2,WahyuDj99,1
KenSavitri35075,bengkeldodo_,1
bengkeldodo_,fat_dinos,1
bengkeldodo_,alexseutya,1
bengkeldodo_,yapholic,1
bengkeldodo_,santagugu,1
zzinospams,beomciyun,1
zynow3skeer,starkvitch,1
fagaraga777,taqibalqibul,1
Atung_Hai,arvinosavin,1
menakdobol,Simemaki,1
SukaBaca2000,Kosimatkasah,1
Kosimatkasah,EkoApan,1
Dracarysthemall,Fahrihamzah,1
Fahrihamzah,awiyanto65,1
Fahrihamzah,tissue_______,1
bossnya,blank0429,1
EkoApan,PurbaJunianto,1
zeronol0,brianmhs_,1
zeronol0,Txtdariressa,1
mohiqbal85,antikomuanis,1
mohiqbal85,Edsgy0825,1
mohiqbal85,romfthi,1
Chernibirg,scramblues,1
adepati_dolk,Xbacottetangga,1
heylutfi_,curug666,1
kafiradikalis,suryadelalu,1
InterQomink,creeping5ilence,1
otaknyakonslet,ferrykoto,1
talinodayaka,detikcom,1
hendrixjimnyyy,AkanMenemuiAjal,1
fsaidhamzah,ShenoWirang,1
fsaidhamzah,Opposite6888,1
BaimElHaqq,giIangmahesa,1
BaimElHaqq,toptobs,1
oufinest,choemutaqin,1
oufinest,iqbalajah_,1
oufinest,gnrlfans,1
iqbalajah_,gnrlfans,1
iqbalajah_,CaprukFootball,1
doflaminyo,naniadalahapa,1
d3vilicious,BBCIndonesia,1
arifnurrachmann,foolinsights,1
arifnurrachmann,bakuldimsum_,1
elricaptrr,akudansibd93535,1
elricaptrr,satirnesia,1
doxkang,itsmearrayyo,1
ronce158,hariankompas,1
wahyu_djanti88,Jelli_cent,1
mas_kenarok,Rudetiawanst,1
danielumar_,annisa_pevita,2
danielumar_,dind0y,2
annisa_pevita,dind0y,1
CarolineLukita,1M_pertama,1
foxnative,maliiih28,1
senenglariaja,tham878,2
awiyanto65,NasbiHasan,1
awiyanto65,budimandjatmiko,1
awiyanto65,Unair_Official,1
awiyanto65,UGMYogyakarta,1
awiyanto65,univ_indonesia,1
Naandaa27,KWijono,1
Singo_Yudho5,setkabgoid,1
setkabgoid,bungalotus25,1
bungalotus25,gerindra,1
bungalotus25,gibran_tweet,1
HaqDarul,VIRGO1409271346,1
ikramjindan,saludosparatii,1
NurAlamSyhClcap,sachtosi,1
IanPrihatmanto,Lullaby1237431,1
IanPrihatmanto,ethadisaputra,1
crazyhuman80535,yappingfess,1
yappingfess,sejarah_harian,1
yappingfess,sigantengaduhai,1
yappingfess,bambangsknt,1
yappingfess,railforgii,1
yappingfess,cacingkremyyy,1
yappingfess,roshanfaro,1
almodovar_23,tempedotc0,1
tempedotc0,buzzerkeadilann,1
Thvsmile_,PasutriFn,1
juni_ibrahim,RadioElshinta,1
Mihom43573Hadi,ghffryy,1
antondjawirr,karirfess,1
karirfess,Tyo_JeBew,1
ImMaskun,bronispait,1
ImMaskun,darkendarkness,1
ImMaskun,okino2x,1
ImMaskun,herculep638,1
EvanoLuke46652,liogtttscrp,1
miratania,istiqqq_,1
adaapa77744049,subairi97370,1
adaapa77744049,xquitavee,1
KiddieOv,unmagnetism,1
enak_tahu1,kinaru_,1
nasaktion2,denni_sauya,1
Cookie_K3,wandanieel_,1
Cookie_K3,aaamoney29,1
Cookie_K3,iaviosa,1
sayno_KKN,KPK_RI,2
TaeTaengie,fluoxetan,1
G3nX_files,PDI_Perjuangan,1
G3nX_files,puanmaharani_ri,1
Haecarol_,lilaccountz,1
